epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.039,0.79086,1.98556,1.18598,0.83581,0.82473,0.86974,0.70681,0.72264,1.04957,0.96872,0.000331034,0.000331034,0.000331034
2,183.766,0.68045,0.96252,1.10979,0.88539,0.84587,0.91024,0.73787,0.68343,0.88796,0.9784,0.000664206,0.000664206,0.000664206
3,246.925,0.65928,0.85187,1.09352,0.92232,0.85895,0.92369,0.7618,0.68226,0.90913,0.95095,0.000996727,0.000996727,0.000996727
4,310.962,0.63247,0.77977,1.07578,0.87305,0.87879,0.92437,0.77219,0.61124,0.72763,0.90641,0.000997803,0.000997803,0.000997803
5,373,0.60052,0.72893,1.05384,0.87343,0.91069,0.92912,0.78491,0.58289,0.80155,0.88377,0.000996097,0.000996097,0.000996097
6,434.786,0.5826,0.68788,1.04675,0.90946,0.92373,0.94558,0.80592,0.53258,0.64637,0.85288,0.000993906,0.000993906,0.000993906
7,496.954,0.57223,0.66075,1.0378,0.92062,0.92918,0.94781,0.84282,0.49576,0.60106,0.80697,0.000991232,0.000991232,0.000991232
8,557.85,0.55189,0.63655,1.0288,0.9482,0.90619,0.94443,0.82051,0.51345,0.75849,0.82421,0.000988079,0.000988079,0.000988079
9,619.724,0.54065,0.61663,1.02568,0.95238,0.92954,0.95513,0.84618,0.47011,0.53583,0.78487,0.000984449,0.000984449,0.000984449
10,681.777,0.53985,0.60883,1.02458,0.93273,0.91433,0.936,0.82504,0.46277,0.70403,0.79316,0.000980345,0.000980345,0.000980345
11,741.851,0.52695,0.58421,1.01932,0.93716,0.92708,0.95816,0.85246,0.46296,0.51701,0.77315,0.000975773,0.000975773,0.000975773
12,804.367,0.52086,0.57614,1.01642,0.93685,0.92601,0.95942,0.85727,0.45798,0.5001,0.7976,0.000970736,0.000970736,0.000970736
13,866.393,0.5206,0.56559,1.01543,0.91182,0.93176,0.95631,0.85387,0.44776,0.50835,0.76204,0.000965239,0.000965239,0.000965239
14,927.993,0.51167,0.56714,1.00939,0.94377,0.89667,0.95188,0.8465,0.48706,0.63129,0.82185,0.000959289,0.000959289,0.000959289
15,990.869,0.50824,0.56544,1.00883,0.95831,0.91797,0.9636,0.86393,0.46953,0.50443,0.80139,0.000952889,0.000952889,0.000952889
